CASTELLANO	XB_CASTELLANO
DBT_BLOCK_SIZE	XB_DBT_BLOCK_SIZE
EXPRESSIONS	XB_EXPRESSIONS
INDEX_NDX	XB_INDEX_NDX
LOCKING_ON	XB_LOCKING_ON
MEMO_FIELDS	XB_MEMO_FIELDS
NDX_NODE_SIZE	XB_NDX_NODE_SIZE
UI_HTML_ON	XB_HTML
FMT_WEEK	XB_FMT_WEEK
FMT_MONTH	XB_FMT_MONTH
FMT_YEAR	XB_FMT_YEAR
CHAR_FLD	XB_CHAR_FLD
LOGICAL_FLD	XB_LOGICAL_FLD
NUMERIC_FLD	XB_NUMERIC_FLD
DATE_FLD	XB_DATE_FLD
MEMO_FLD	XB_MEMO_FLD
FLOAT_FLD	XB_FLOAT_FLD
EXPRESSION	XB_EXPRESSION
CLOSED	XB_CLOSED
OPEN	XB_OPEN
UPDATED	XB_UPDATED
OVERLAY	XB_OVERLAY
DONTOVERLAY	XB_DONTOVERLAY
	
CHAR	char
DBF	xbDbf
DOUBLE	xbDouble
EXPN	xbExpn
FLOAT	xbFloat
HTML	xbHtml
LONG	xbLong
MH	xbMH
NDX	xbNdx
SHORT	xbShort
STACK	xbStack
UCHAR	unsigned char
ULONG	xbULong
USHORT	xbUShort
VOID	void
XBASE	xbXBase
XDATE	xbXDate
	
ArrayPtr	xbArrayPtr
DbList	xbDbList
ExpNode	xbExpNode
FieldList	xbFieldList
FuncDtl	xbFuncDtl
IxList	xbIxList
NdxHeadNode	xbNdxHeadNode
NdxLeafNode	xbNdxLeafNode
NodeLink	xbNodeLink
Schema	xbSchema
SchemaRec	xbSchemaRec
StackElement	xbStackElement
	
NO_ERROR	XB_NO_ERROR
XBASE_EOF	XB_EOF
XBASE_BOF	XB_BOF
NO_MEMORY	XB_NO_MEMORY
FILE_EXISTS	XB_FILE_EXISTS
OPEN_ERROR	XB_OPEN_ERROR
WRITE_ERROR	XB_WRITE_ERROR
UNKNOWN_FIELD_TYPE	XB_UNKNOWN_FIELD_TYPE
ALREADY_OPEN	XB_ALREADY_OPEN
NOT_XBASE	XB_NOT_XBASE
INVALID_RECORD	XB_INVALID_RECORD
INVALID_OPTION	XB_INVALID_OPTION
NOT_OPEN	XB_NOT_OPEN
SEEK_ERROR	XB_SEEK_ERROR
READ_ERROR	XB_READ_ERROR
NOT_FOUND	XB_NOT_FOUND
FOUND	XB_FOUND
INVALID_KEY	XB_INVALID_KEY
INVALID_NODELINK	XB_INVALID_NODELINK
KEY_NOT_UNIQUE	XB_KEY_NOT_UNIQUE
INVALID_KEY_EXPRESSION	XB_INVALID_KEY_EXPRESSION
DBF_FILE_NOT_OPEN	XB_DBF_FILE_NOT_OPEN
INVALID_KEY_TYPE	XB_INVALID_KEY_TYPE
INVALID_NODE_NO	XB_INVALID_NODE_NO
NODE_FULL	XB_NODE_FULL
INVALID_FIELDNO	XB_INVALID_FIELDNO
INVALID_DATA	XB_INVALID_DATA
NOT_LEAFNODE	XB_NOT_LEAFNODE
LOCK_FAILED	XB_LOCK_FAILED
CLOSE_ERROR	XB_CLOSE_ERROR
INVALID_SCHEMA	XB_INVALID_SCHEMA
INVALID_NAME	XB_INVALID_NAME
INVALID_BLOCK_SIZE	XB_INVALID_BLOCK_SIZE
INVALID_BLOCK_NO	XB_INVALID_BLOCK_NO
NOT_MEMO_FIELD	XB_NOT_MEMO_FIELD
NO_MEMO_DATA	XB_NO_MEMO_DATA
EXP_SYNTAX_ERROR	XB_EXP_SYNTAX_ERROR
PARSE_ERROR	XB_PARSE_ERROR
NO_DATA	XB_NO_DATA
UNKNOWN_TOKEN_TYPE	XB_UNKNOWN_TOKEN_TYPE
INVALID_FIELD	XB_INVALID_FIELD
INSUFFICIENT_PARMS	XB_INSUFFICIENT_PARMS
INVALID_FUNCTION	XB_INVALID_FUNCTION
